paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
92,https://doi.org/10.1016/j.electacta.2016.04.024,2016,Pt,Pt,Pt,SCE,NPSS,Fe,KOH,1,"0,5603",50,"13,5","-0,58","-0,25","20,966","-0,336","-0,00600000000000001","0,33"
92,https://doi.org/10.1016/j.electacta.2016.04.024,2016,Pt-Pd/Cu/NPSS,Pt_Pd_Cu,Pt_Pd_Cu,SCE,NPSS,Fe,KOH,1,"0,5603",50,"13,5","-0,54","-0,17","61,852","-0,296","0,074","0,37"
93,https://doi.org/10.1016/j.ijhydene.2016.06.253,2016,Ag/RGO�,Ag_rGO,Ag_O_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83",0,0,0,0,0,0
93,https://doi.org/10.1016/j.ijhydene.2016.06.253,2016,Au(0.3%)�Ag/RGO,Au_Ag_rGO,Au_Ag_O_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,123","0,17","45,7","0,121","0,414","0,293"
93,https://doi.org/10.1016/j.ijhydene.2016.06.253,2016,Au/RGO,Au_rGO,Au_O_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,123","0,18","50,1","0,121","0,424","0,303"
94,https://doi.org/10.1016/j.ijhydene.2014.03.076,2014,Pd9Bi1/C,Pd_Bi_C,Pd_Bi_C,RHE,GCE,C,NaOH,1,"0,1",10,"12,71","0,555","0,818","31,824","-0,19489","0,0681099999999999","0,263"
94,https://doi.org/10.1016/j.ijhydene.2014.03.076,2014,Pt9Bi1/C,Pt_Bi_C,Pt_Bi_C,RHE,GCE,C,NaOH,1,"0,1",10,"12,71","0,339","0,761","31,673","-0,41089","0,01111","0,422"
94,https://doi.org/10.1016/j.ijhydene.2014.03.076,2014,�Pd4.5Pt4.5Bi1/C,Pd_Pt_Bi_C,Pd_Pt_Bi_C,RHE,GCE,C,NaOH,1,"0,1",10,"12,71","0,339","0,826","38,465","-0,41089","0,0761099999999999","0,487"
95,https://doi.org/10.1016/j.jcis.2019.07.093,2019,PdPb NWs,Pd_Pb,Pd_Pb,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,56","1,062","63,796","-0,24004","0,26196","0,502"
95,https://doi.org/10.1016/j.jcis.2019.07.093,2019,PdFe NWs,Pd_Fe,Pd_Fe,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,51","1,024","53,231","-0,29004","0,22396","0,514"
95,https://doi.org/10.1016/j.jcis.2019.07.093,2019,PdFePb NWs�,Pd_Fe_Pb,Pd_Fe_Pb,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,53","1,063","105,66","-0,27004","0,26296","0,533"
96,https://doi.org/10.1016/j.electacta.2015.12.152,2016,Au/CeO2/MWNT (NH3),Au_Ce_O_CNT,Au_Ce_O_C,SCE,GCE,C,KOH,1,1,20,"13,79","-0,03","0,173",7,"0,214","0,417","0,203"
96,https://doi.org/10.1016/j.electacta.2015.12.152,2016,Au/PC-MWNT,Au_Org_CNT,Au_C_N_O_H_C,SCE,GCE,C,KOH,1,1,20,"13,79","-0,03","0,178","27,9","0,214","0,422","0,208"
96,https://doi.org/10.1016/j.electacta.2015.12.152,2016,Au/CeO2/PC-MWNT (MW),Au_Ce_O_Org_CNT,Au_Ce_O_C_N_O_H_C,SCE,GCE,C,KOH,1,1,20,"13,79","-0,43","0,207","59,2","-0,186","0,451","0,637"
97,https://doi.org/10.1039/c6ra28864b,2017,Pd/SiO2,Pd_Si_O,Pd_Si_O,RHE,GCE,C,KOH,"0,1","0,2",50,"13,27","0,6",1,"21,6215","-0,18293","0,21707","0,4"
97,https://doi.org/10.1039/c6ra28864b,2017,Pd,Pd,Pd,RHE,GCE,C,KOH,"0,1","0,2",50,"13,27","0,6","1,026","16,926","-0,18293","0,24307","0,426"
98,https://doi.org/10.1039/c8nr04741c,2018,np-PtGa foil,Pt_Ga,Pt_Ga,Ag/AgCl,SELF,Pt,H2SO4,"0,5","0,5",50,"0,24","0,457","0,678","60,934","0,656","0,877","0,221"
99,https://doi.org/10.1016/j.jelechem.2014.10.010,2014,Au/C,Au_VC,Au_C,RHE,GCD,C,NaOH,"0,1","0,1",50,"12,96","0,6","1,2",120,"-0,16464","0,43536","0,6"
100,https://doi.org/10.1007/s10800-018-1155-9,2018,Au/C,Au_C,Au_C,Hg/HgO,GCE,C,KOH,"0,1","0,1",20,"12,96","-0,366","0,441","37,6","-0,506","0,301","0,807"
100,https://doi.org/10.1007/s10800-018-1155-9,2018,Au1Ni1/C,Au_Ni_C,Au_Ni_C,Hg/HgO,GCE,C,KOH,"0,1","0,1",20,"12,96","-0,425","0,396","32,6","-0,565","0,256","0,821"
101,https://doi.org/10.1039/C5RA17172E,2015,Pt/ATCP�CP�BZD�CNT ,Pt_Org_CNT,Pt_C_N_O_H,SCE,GE,C,KOH,"0,5","0,5",50,"13,56","-0,64","-0,05",,"-0,396","0,194","0,59"
101,https://doi.org/10.1039/C5RA17172E,2015,Pt�Sn/ATCP�CP� BZD�CNT,Pt_Sn_Org_CNT,Pt_Sn_C_N_O_H,SCE,GE,C,KOH,"0,5","0,5",50,"13,56","-0,74","-0,061",,"-0,496","0,183","0,679"
102,https://doi.org/10.3390/catal9040387,2019,Pt-CNT/GC,Pt_CNT,Pt_C,RHE,GCE,C,K2SO4,"0,05","0,00125",100,,"0,327","0,39","0,027","0,327","0,39","0,063"
102,https://doi.org/10.3390/catal9040387,2019,Pt Disk,Pt,Pt,RHE,SELF,Pt,K2SO4,"0,05","0,00125",100,,"0,327","0,4","0,024","0,327","0,4","0,073"
102,https://doi.org/10.3390/catal9040387,2019,Pd/CNT-GC,Pd_CNT,Pd_C,RHE,GCE,C,KOH,"0,1","0,00125",100,"11,06","-0,006","0,082","3,882","-0,65854","-0,57054","0,088"
102,https://doi.org/10.3390/catal9040387,2019,Pd disk,Pd,Pd,RHE,SELF,Pd,KOH,"0,1","0,00125",100,"11,06","-0,041","0,079","5,356","-0,69354","-0,57354","0,12"
102,https://doi.org/10.3390/catal9040387,2019,Au Disk,Au,Au,RHE,SELF,Au,KOH,"0,1","0,00125",100,"11,06","0,087","0,244","4,628","-0,56554","-0,40854","0,157"
102,https://doi.org/10.3390/catal9040387,2019,Pt Disk,Pt,Pt,RHE,SELF,Pt,KOH,"0,1","0,00125",100,"11,06","-0,326","0,011","7,262","-0,97854","-0,64154","0,337"
102,https://doi.org/10.3390/catal9040387,2019,Pt Disk,Pt,Pt,RHE,SELF,Pt,HClO4,"0,1","0,00125",100,"2,61","0,455","0,84","0,031","0,30101","0,68601","0,385"
102,https://doi.org/10.3390/catal9040387,2019,Pt-CNT/GC,Pt_CNT,Pt_C,RHE,GCE,C,KOH,"0,1","0,00125",100,"11,06","-0,297","0,124","8,247","-0,94954","-0,52854","0,421"
102,https://doi.org/10.3390/catal9040387,2019,Au/CNT-GC,Au_CNT,Au_C,RHE,GCE,C,KOH,"0,1","0,00125",100,"11,06","0,013","0,451","8,967","-0,63954","-0,20154","0,438"
103,https://doi.org/10.1016/j.electacta.2014.08.035,2014,Au50Ag50/C,Au_Ag_C,Au_Ag_C,RHE,GCD,C,NaOH,"0,1","0,1",50,"12,96","0,6","1,199","2,85714285714286","-0,16464","0,43436","0,599"
103,https://doi.org/10.1016/j.electacta.2014.08.035,2014,Au/C,Au_C,Au_C,RHE,GCD,C,NaOH,"0,1","0,1",50,"12,96","0,7","1,456","24,4897959183673","-0,06464","0,69136","0,756"
104,https://doi.org/10.1016/j.electacta.2015.07.020,2015,Pd-PEDOT/C,Pd_Org_C,Pd_C_N_O_H_C,SCE,CP,C,NaOH,"0,1","0,1",5,"12,96","-0,395","-0,197","2,71","-0,151","0,047","0,198"
104,https://doi.org/10.1016/j.electacta.2015.07.020,2015,Pd5Ru/C nanoflowers,Pd_Ru_C,Pd_Ru_C,SCE,CP,C,NaOH,"0,1","0,1",5,"12,96","-0,35","-0,146",1,"-0,106","0,098","0,204"
104,https://doi.org/10.1016/j.electacta.2015.07.020,2015,Pd5Ru�PEDOT/C nanoflowers,Pd_Ru_Org_C,Pd_Ru_C_N_O_H_C,SCE,CP,C,NaOH,"0,1","0,1",5,"12,96","-0,438","-0,179","4,6","-0,194","0,065","0,259"
105,https://doi.org/10.1002/celc.201901254,2019,Pd/C,Pd_C,Pd_C,SCE,GCE,C,KOH,1,1,10,"13,79","-0,41","-0,069",,"-0,166","0,175","0,341"
105,https://doi.org/10.1002/celc.201901254,2019,Pd2Nb1/C,Pd_Nb_C,Pd_Nb_C,SCE,GCE,C,KOH,1,1,10,"13,79","-0,49","0,186",,"-0,246","0,43","0,676"
106,https://doi.org/10.1016/j.jtice.2018.08.028,2018,Pd/C,Pd_C,Pd_C,Ag/AgCl,GCE,C,KOH,"0,1","0,5",50,"13,67","-0,26","0,154","9,3748","-0,061","0,353","0,414"
106,https://doi.org/10.1016/j.jtice.2018.08.028,2018,Pd/ Se�C,Pd_Se_C,Pd_Se_C,Ag/AgCl,GCE,C,KOH,"0,1","0,5",50,"13,67","-0,32","0,172","10,5976","-0,121","0,371","0,492"
106,https://doi.org/10.1016/j.jtice.2018.08.028,2018,PdAu/P�Se�C,Pd_Au_P_Se_C,Pd_Au_P_Se_C,Ag/AgCl,GCE,C,KOH,"0,1","0,5",50,"13,67","-0,38","0,121","8,2766","-0,181","0,32","0,501"
106,https://doi.org/10.1016/j.jtice.2018.08.028,2018,Pd/P�Se�C,Pd_P_Se_C,Pd_P_Se_C,Ag/AgCl,GCE,C,KOH,"0,1","0,5",50,"13,67","-0,33","0,178","12,228","-0,131","0,377","0,508"
107,https://doi.org/10.1016/j.elecom.2018.09.004,2018,Au/C,Au_C,Au_C,Hg/HgO,GCE,C,KOH,"0,1",2,50,"14,29","-0,18","0,421","36,6165","-0,32","0,281","0,601"
107,https://doi.org/10.1016/j.elecom.2018.09.004,2018,ALD-Au/C(HT),Ti_O_Au_C,Ti_O_Au_C,Hg/HgO,GCE,C,KOH,"0,1",2,50,"14,29","-0,28","0,382","43,218","-0,42","0,242","0,662"
108,https://doi.org/10.1039/c7ta04598k,2017,Au1Cu1,Au_C,Au_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,379","-0,37","142,1164","-0,135","-0,126","0,00900000000000001"
108,https://doi.org/10.1039/c7ta04598k,2017,Au,Au,Au,SCE,GCE,C,KOH,1,1,50,"13,79","-0,302","-0,21","35,9844","-0,058","0,034","0,092"
109,https://doi.org/10.1002/celc.201800309,2018,PtNi/GNS,Pt_Ni_G,Pt_Ni_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,528","-0,13","3,22","-0,284","0,114","0,398"
109,https://doi.org/10.1002/celc.201800309,2018,Pt/GNS,Pt_G,Pt_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,503","-0,03","2,25","-0,259","0,214","0,473"
109,https://doi.org/10.1002/celc.201800309,2018,PtRu/GNS,Pt_Ru_G,Pt_Ru_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,587","-0,1","3,19","-0,343","0,144","0,487"
109,https://doi.org/10.1002/celc.201800309,2018,PtRh/GNS,Pt_Rh_G,Pt_Rh_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,71","-0,16","40,5","-0,466","0,084","0,55"
109,https://doi.org/10.1002/celc.201800309,2018,PtRuNi/GNS,Pt_Ru_Ni_G,Pt_Ru_Ni_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,62","-0,06","4,83","-0,376","0,184","0,56"
109,https://doi.org/10.1002/celc.201800309,2018,PtRhNi/NGS,Pt_Rh_Ni_G,Pt_Rh_Ni_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,719","-0,15","56,2","-0,475","0,094","0,569"
110,https://doi.org/10.1016/j.jelechem.2018.01.033,2018,Pd/C,Pd_C,Pd_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,29","-0,088","8,38756","-0,046","0,156","0,202"
110,https://doi.org/10.1016/j.jelechem.2018.01.033,2018,Pt/C,Pt_C,Pt_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,337","-0,019","20,433","-0,093","0,225","0,318"
110,https://doi.org/10.1016/j.jelechem.2018.01.033,2018,Pd1Au1/C,Pd_Au_C,Pd_Au_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,367","-0,039","67,373","-0,123","0,205","0,328"
110,https://doi.org/10.1016/j.jelechem.2018.01.033,2018,Pt1Au1/C,Pt_Au_C,Pt_Au_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,369","-0,036","156,931","-0,125","0,208","0,333"
111,https://doi.org/10.1016/j.ijhydene.2018.10.132,2018,Pt4Sn1�CNCs,Pt_Sn,Pt_Sn,RHE,GCE,C,KOH,1,1,50,"13,79","0,468","0,9","113,782857142857","-0,34561","0,0863900000000001","0,432"
112,https://doi.org/10.1016/j.jtice.2018.08.023,2018,PtCu,Pt_Cu_C,Pt_Cu_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,39","0,804","61,58565","-0,42361","-0,0096099999999999","0,414"
112,https://doi.org/10.1016/j.jtice.2018.08.023,2018,PtCo,Pt_Co_C,Pt_Co_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,36","0,804","68,8218","-0,45361","-0,0096099999999999","0,444"
112,https://doi.org/10.1016/j.jtice.2018.08.023,2018,PtCoCu NCs,Pt_Co_Cu_C,Pt_Co_Cu_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,33","0,804","100,31715","-0,48361","-0,0096099999999999","0,474"
113,https://doi.org/10.1016/j.ijhydene.2015.05.154,2015,PdAu,Pd,Pd,NHE,Au Disk,Au,KOH,1,1,50,"13,79","-0,35","0,095","88,8","-0,35","0,095","0,445"
113,https://doi.org/10.1016/j.ijhydene.2015.05.154,2015,Pd-Co(1)/Au,Pd_Co,Pd_Co,NHE,Au Disk,Au,KOH,1,1,50,"13,79","-0,37","0,095","115,2","-0,37","0,095","0,465"
114,https://doi.org/10.5796/electrochemistry.18-00048,2018,Pt�CeO2-x/GNS,Pt_Ce_O_G,Pt_Ce_O_C,SCE,GCE,C,KOH,"0,1",1,50,"13,98","-0,501","-0,17","87,45","-0,257","0,074","0,331"
115,https://doi.org/10.1016/j.jelechem.2016.11.053,2016,PtAg/MnOx/C,Pt_Ag_Mn_O_C,Pt_Ag_Mn_O_C,RHE,GCE,C,KOH,1,1,10,"13,79","0,184","0,908","315,8256","-0,62961","0,0943900000000001","0,724"
115,https://doi.org/10.1016/j.jelechem.2016.11.053,2016,PtAg/C,Pt_Ag_C,Pt_Ag_C,RHE,GCE,C,KOH,1,1,10,"13,79","0,176","1,008","233,7525","-0,63761","0,19439","0,832"
116,https://doi.org/10.1016/j.ijhydene.2013.12.159,2014,Pd/rGO,Pd_rGO,Pd_O_C,SCE,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,46","-0,12","21,5142857142857","-0,216","0,124","0,34"
117,https://doi.org/10.1016/j.jelechem.2019.113225,2019,AuAg8/C,Au_Ag_C,Au_Ag_C,Hg/HgO,GCE,C,KOH,2,1,10,"13,62","-0,031","0,237",,"-0,171","0,097","0,268"
117,https://doi.org/10.1016/j.jelechem.2019.113225,2019,AuAg4Pd0.1/C,Au_Ag_Pd_C,Au_Ag_Pd_C,Hg/HgO,GCE,C,KOH,2,1,10,"13,62","-0,08","0,237",,"-0,22","0,097","0,317"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,FeCo2O4,Fe_Co_O,Fe_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,383",,1,"0,61836",,"-0,61836"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,MnCo2O4,Mn_Co_O,Mn_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,372",,1,"0,60736",,"-0,60736"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,ZnCo2O4,Zn_Co_O,Zn_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,322",,1,"0,55736",,"-0,55736"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,CoCo2O4,Co_Co_O,Co_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,23",,1,"0,46536",,"-0,46536"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,NiCo2O4,Ni_Co_O,Ni_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,183",,1,"0,41836",,"-0,41836"
118,https://dx.doi.org/10.1021/acscatal.0c01498,2020,CuCo2O4,Cu_Co_O,Cu_Co_O,RHE,CP,C,KOH,"0,1","0,1",1,"12,96","1,149",,1,"0,38436",,"-0,38436"
119,https://dx.doi.org/10.1088/1755-1315/1050/1/012017,2017,PD/GC,Pd,Pd,RHE,GCE,C,KOH,"0,1","0,3",50,"13,44","0,48","0,826","12,5","-0,31296","0,0330400000000001","0,346"
119,https://dx.doi.org/10.1088/1755-1315/1050/1/012017,2017,CoOx/Pd/GC,Co_O_Pd,Co_O_Pd,RHE,GCE,C,KOH,"0,1","0,3",50,"13,44","0,4","0,752","21,5","-0,39296","-0,0409599999999999","0,352"
120,https://dx.doi.org/10.1002/adfm.202306995,2024,NiCo2O4/NF,Ni_Co_O,Ni_Co_O,RHE,NF,Ni,KOH,1,"0,1",10,"12,71","1,13",,10,"0,38011",,"-0,38011"
120,https://dx.doi.org/10.1002/adfm.202306995,2024,Co3O4/NF,Co_O,Co_O,RHE,NF,Ni,KOH,1,"0,1",10,"12,71","1,26",,10,"0,51011",,"-0,51011"
120,https://dx.doi.org/10.1002/adfm.202306995,2024,NiO/NF,Ni_O,Ni_O,RHE,NF,Ni,KOH,1,"0,1",10,"12,71","1,32",,10,"0,57011",,"-0,57011"
121,https://dx.doi.org/ 10.1039/c4cp03048f,2014,Pt/GNS,Pt_G,Pt_C,SCE,Au,Au,H2SO4,1,1,50,"-0,03","0,528","0,679",3,"0,772","0,923","0,151"
122,https://doi.org/10.1016/j.jcis.2017.08.063,2018,AuPd NCs,Au_Pd,Au_Pd,SCE,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,301","-0,106","50,64","-0,057","0,138","0,195"
123,https://dx.doi.org/10.1039/c8nr01962b,2018,Pt52Cu48 HTNCs,Pt_Cu,Pt_Cu,SCE,GCE,C,KOH,1,1,50,"13,79","-0,432","-0,095",,"-0,188","0,149","0,337"
124,https://dx.doi.org/10.1002/slct.201701687,2017,Pd53Ni47/C,Pd_Ni,Pd_Ni,SCE,Au Disk,Au,KOH,1,1,30,"13,79","-0,428","-0,0616",,"-0,184","0,1824","0,3664"
125,https://dx.doi.org/10.1021/acsaem.8b01385,2018,PtCu NCs,Pt_Cu,Pt_Cu,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,464","1,008","134,978","-0,33604","0,20796","0,544"
126,https://doi.org/10.1016/j.electacta.2017.01.033,2017,TaCxFyOz/gC,Ta_C_F_O_C,Ta_C_F_O_C,Hg/HgO,GCE,C,KOH,1,1,50,"13,79","-0,494","-0,04","24,413","-0,634","-0,18","0,454"
127,https://doi.org/10.1016/j.cplett.2015.10.008,2015,Pt0.8Ru0.1Sn0.1Oy/Ti,Pt_Ru_Sn_O,Pt_Ru_Sn_O,RHE,Ti,Ti,H2SO4,"0,5",1,20,"-0,03","0,25","1,002",,"0,25177","1,00377","0,752"
128,https://doi.org/10.1016/j.jpowsour.2015.09.051,2015,Pt-Pd-gCN-CB,Pt_Pd_C_N_C,Pt_Pd_C_N_C,SCE,GCE,C,NaOH,1,1,50,"13,79","-0,443","-0,132","93,1789669","-0,199","0,112","0,311"
129,https://doi.org/10.1039/C8NR04918A,2018,Pt3Fe NWs ,Pt_Fe,Pt_Fe,SCE,GCE,C,KOH,1,1,50,"13,79","-0,406","-0,106","57,2","-0,162","0,138","0,3"
130,https://doi.org/10.1002/cctc.201800188,2018,PtCu HCNFs,Pt_Cu,Pt_Cu,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,546","0,904",96,"-0,25404","0,10396","0,358"
131,https://doi.org/10.1039/c9na00317g,2019,Pd96Fe4/GCN,Pd_Fe_C,Pd_Fe_C,Hg/HgO,GCE,C,KOH,"0,5","0,1",50,"12,83","-0,315","-0,032","8,4","-0,455","-0,172","0,283"
132,https://doi.org/10.1016/j.jallcom.2017.11.322,2017,Pt77Pd23�ACSNDs/rGO,Pt_Pd_rGO,Pt_Pd_O_C,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,599","1,019","74,262","-0,20104","0,21896","0,42"
133,https://doi.org/10.1021/acssuschemeng.7b03047,2017,Pt46Cu54,Pt_Cu,Pt_Cu,Ag/AgCl,GCE,C,NaOH,"0,5","0,5",50,"13,56","-0,42","0,02",,"-0,221","0,219","0,44"
134,https://doi.org/10.1016/j.electacta.2013.10.194,2014,FeCo@Fe@Pd/C,Fe_Co_Fe_Pd_C,Fe_Co_Pd_C,Ag/AgCl,GCE,C,KOH,"0,5","0,5",25,"13,56","-0,48","-0,089","20,36","-0,281","0,11","0,391"
135,https://doi.org/10.1002/aenm.201800684,2019,Pt32Pd48Ni20 NSs,Pt_Pd_Ni,Pt_Pd_Ni,Ag/AgCl,GCD,C,KOH,"0,5","0,5",50,"13,56","-0,471","-0,188",,"-0,272","0,011","0,283"
136,https://doi.org/10.1088/1757-899X/702/1/012025,2019,P-dopedPt/MCNTs,Pt_P_CNT,Pt_P_C,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,5","-0,281","59,57","-0,301","-0,082","0,219"
137,https://doi.org/10.1016/j.colsurfa.2014.09.027,2014,Pd NP,Pd,Pd,Ag/AgCl,ITO,In_Sn_O,KOH,"0,5",5,50,"14,66","-0,44","-0,019","1,613","-0,241","0,18","0,421"
138,https://doi.org/10.1016/j.ijhydene.2017.08.112,2017,Pd-Fe3O4/C,Pd_Fe_O_C,Pd_Fe_O_C,SHE,GCE,C,KOH,1,"0,5",20,"13,45","-0,28","0,093","41,435761589404","-0,28","0,093","0,373"
139,https://doi.org/10.1039/c7nr06737b,2017,Au1Ag1,Au_Ag,Au_Ag,SCE,GCE,C,KOH,1,1,50,"13,79","-0,447","-0,113",,"-0,203","0,131","0,334"
139,https://doi.org/10.1039/c7nr06737b,2017,Pd1Ag1,Pd_Ag,Pd_Ag,SCE,GCE,C,KOH,1,1,50,"13,79","-0,457","-0,085",,"-0,213","0,159","0,372"
139,https://doi.org/10.1039/c7nr06737b,2017,Pd1Au1Ag1,Pd_Au_Ag,Pd_Au_Ag,SCE,GCE,C,KOH,1,1,50,"13,79","-0,468","-0,072",,"-0,224","0,172","0,396"
140,https://doi.org/10.1002/celc.201700640,2017,Pt4Co MDs,Pt_Co,Pt_Co,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,51","0,99","163,555","-0,29004","0,18996","0,48"
84,https://doi.org/10.1039/c5gc01243k,2016,Pt/ MWCNTs ,Pt_CNT,Pt_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,6","-0,208",,"-0,356","0,036","0,392"
84,https://doi.org/10.1039/c5gc01243k,2016,Pt/Ag@C,Pt_Ag_C,Pt_Ag_C,SCE,GCE,C,KOH,1,1,50,"13,79","-0,72","-0,139",,"-0,476","0,105","0,581"
141,https://doi.org/10.1039/c6nj03739a,2017,Pd/CP,Pd,Pd,NHE,CP,C,KOH,"0,3","0,1",20,"12,89","-0,16","0,18","42,144","-0,16","0,18","0,34"
141,https://doi.org/10.1039/c6nj03739a,2017,Pt/CP,Pt,Pt,NHE,CP,C,KOH,"0,3","0,1",20,"12,89","-0,29","0,314","204,605","-0,29","0,314","0,604"
142,https://doi.org/10.1039/c9ta08806g,2019,RhCuBUNNs,Rh_Cu,Rh_Cu,RHE,CC,C,KOH,"0,1","0,1",50,"12,96","0,53","0,799","27,7","-0,23464","0,0343600000000001","0,269"
143,https://doi.org/10.1016/j.cej.2024.150258,2024,PdMo,Pd_Mo_C,Pd_Mo_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,721","1,04","0,1457","-0,09261","0,22639","0,319"
143,https://doi.org/10.1016/j.cej.2024.150258,2024,P-PdMo,P_Pd_Mo_C,P_Pd_Mo_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,694","1,07","0,174","-0,11961","0,25639","0,376"
144,https://doi.org/10.1016/j.ijhydene.2017.05.124,2017,Pd1Ni1,Pd_Ni,Pd_Ni,Hg/HgO,GCE,C,KOH,"0,1","0,5",50,"13,67","-0,546","0,184",,"-0,686","0,044","0,73"
145,https://doi.org/10.1149/2.0821811jes,2018,Pt-CeO2/porous PANI,Pt_Ce_O_Org,Pt_Ce_O_C_N_O_H,RHE,GCE,C,H2SO4,"0,5","0,5",100,"0,24","0,686","0,91","30,478","0,67184","0,89584","0,224"
146,https://doi.org/10.1149/06403.1061ecst,2014,Pd/Vulcan,Pd_VC,Pd_C,SHE,GCE,C,KOH,"0,5","0,5",20,"13,56","-0,152","0,121","8,277","-0,152","0,121","0,273"
146,https://doi.org/10.1149/06403.1061ecst,2014,PdAu/OMCf2,Pd_Au_OMC,Pd_Au_C,SHE,GCE,C,KOH,"0,5","0,5",20,"13,56","-0,172","0,153","17,367","-0,172","0,153","0,325"
146,https://doi.org/10.1149/06403.1061ecst,2014,PdAu/MWCNTf1,Pd_Au_CNT,Pd_Au_C,SHE,GCE,C,KOH,"0,5","0,5",20,"13,56","-0,2","0,131","15,261","-0,2","0,131","0,331"
147,https://doi.org/10.1016/j.apcatb.2016.06.072,2017," Sb/Pt/C, ?Sb�=�0.81",Sb_Pt_C,Sb_Pt_C,RHE,GCE,C,HClO4,"0,1","0,2",50,"0,59","0,31","0,639",,"0,27519","0,60419","0,329"
148,https://doi.org/10.1016/j.jcis.2017.08.059,2018,Au@AuPd NFs/rGO�,Au_Au_Pd_rGO,Au_Pd_C,SCE,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,335","-0,076","69,522","-0,091","0,168","0,259"
149,https://doi.org/10.1016/j.ijhydene.2016.12.100,2017,PdCu,Pd_Cu,Pd_Cu,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,06","0,165","21,6","-0,86004","-0,63504","0,225"
150,https://doi.org/10.1021/acscatal.5b00183,2015,Pd-CNx/G,Pd_C_N_G,Pd_C_N,Hg/HgO,GCE,C,NaOH,"0,5","0,5",50,"13,56","-0,203","0,079","268,2553","-0,343","-0,061","0,282"
150,https://doi.org/10.1021/acscatal.5b00183,2015,Pd-CNx,Pd_C_N,Pd_C_N,Hg/HgO,GCE,C,NaOH,"0,5","0,5",50,"13,56","-0,203","0,089","281,6815","-0,343","-0,051","0,292"
151,https://doi.org/10.1016/j.jcis.2017.01.030,2017,PtAg NCs,Pt_Ag,Pt_Ag,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,406","0,93","77,91","-0,39404","0,12996","0,524"
152,https://doi.org/10.1016/j.jpowsour.2019.04.001,2019,Pt3Ni NRs,Pt_Ni,Pt_Ni,RHE,GCE,C,KOH,1,1,50,"13,79","0,565","0,959",,"-0,24861","0,14539","0,394"
153,https://doi.org/10.1021/ja412429f,2014,Pd4Bi,Pd_Bi,Pd_Bi,RHE,GCD,C,KOH,1,"0,1",50,"12,71","0,57","1,095","95,377","-0,17989","0,34511","0,525"
154,https://doi.org/10.1016/j.elecom.2014.06.007,2014,PtAgNTs,Pt_Ag,Pt_Ag,SCE,GCE,C,NaOH,"0,5","0,5",50,"13,56","-0,79","-0,121","158,7","-0,546","0,123","0,669"
