paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
40,https://doi.org/10.1039/d0nj03219k,2020,Au/C,Au_C,Au_C,Ag/AgCl,GCE,C,NaOH,"0,5",1,50,"13,89","-0,1","0,6564","23,1","0,099","0,8554","0,7564"
40,https://doi.org/10.1039/d0nj03219k,2020,AuCeO2/C,Au_Ce_O_C,Au_Ce_O_C,Ag/AgCl,GCE,C,NaOH,"0,5",1,50,"13,89","-0,2","0,723","61,93","-0,001","0,922","0,923"
41,https://doi.org/10.1002/slct.202001564,2020,NiFe/ERGO/CE,Ni_Fe_rGO,Ni_Fe_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,45","0,83","119,25","0,649","1,029","0,38"
42,https://doi.org/10.1002/slct.202001563,2020,NiCu/ERGO/CE,Ni_Cu_rGO,Ni_Cu_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,42","0,81","137,14","0,619","1,009","0,39"
43,https://doi.org/10.1002/slct.202001562,2020,NiCuFe-ANPs/CE,Ni_Cu_Fe,Ni_Cu_Fe,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,41","0,82","145,32","0,609","1,019","0,41"
44,https://doi.org/10.1002/slct.202001561,2020,NiCuFe-ANPs/ERGO/CE,Ni_Cu_Fe_rGO,Ni_Cu_Fe_O_C,Ag/AgCl,CC,C,KOH,"0,1","0,005",50,"11,66","0,36","0,8","170,35","0,559","0,999","0,44"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,Pd/CNF,Pd_CNF,Pd_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,12",50,"-0,156","0,124","0,28"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,Au/CNF,Au_CNF,Au_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,1",45,"-0,156","0,144","0,3"
45,https://doi.org/10.17576/jsm-2020-4912-26,2020,PdAu/CNF,Pd_Au_CNF,Pd_Au_C,SCE,GCE,C,KOH,1,"0,5",50,"13,45","-0,4","-0,09",70,"-0,156","0,154","0,31"
46,https://doi.org/10.1039/D0TA02509G,2020,75ALD(SnO2)-Pt/C (HT),Pt_Sn_O_C,Pt_Sn_O_C,SHE,GCE,C,H2SO4,"0,5",2,50,"-0,32","0,556","0,856","0,428","0,556","0,856","0,3"
47,https://doi.org/10.1039/d0na00252f,2020,PtPd@Ag-NH3,Pt_Pd_Ag,Pt_Pd_Ag,RHE,GCE,C,HClO4,"0,1",1,10,"-0,03","0,57","0,83","0,59","0,511","0,771","0,26"
47,https://doi.org/10.1039/d0na00252f,2020,PtPd@Ag-NH3,Pt_Ag,Pt_Ag,RHE,GCE,C,KOH,"0,1",1,10,"13,98","0,68","0,99","6,05","-0,0693","0,2407","0,31"
48,https://doi.org/10.1016/j.ijhydene.2020.08.104,2020,Au0.4/Ag100/C,Au_Ag_C,Au_Ag_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,3","0,09","20,3","-0,056","0,334","0,39"
48,https://doi.org/10.1016/j.ijhydene.2020.08.104,2020,Pt1.3/Au0.4/Ag100/ C,Pt_Au_Ag_C,Pt_Au_Ag_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,62","-0,16","33,6","-0,376","0,084","0,46"
49,https://doi.org/10.1016/j.ijhydene.2020.06.082,2020,Pd3Ir/g-C3N4 ,Pd_Ir_C_N,Pd_Ir_C_N,Ag/AgCl,FTO,F_Sn_O,KOH,1,1,,"13,79","-0,4286","-0,219","352,63","-0,2296","-0,02","0,2096"
50,https://doi.org/10.1016/j.catcom.2020.105964,2020,P-doped Pd/CNT,Pd_P_CNT,Pd_P_C,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,3439",0,26,"-0,1449","0,199","0,3439"
51,https://doi.org/10.1016/j.electacta.2019.135161,2019,Pt0.9Bi0.1/C,Pt_Bi_C,Pt_Bi_C,RHE,GCE,C,NaOH,"0,1","0,1",5,"12,96","0,3","0,83966",11,"-0,46464","0,07502","0,53966"
52,https://doi.org/10.1021/acsami.9b22378,2020,Ni90Bi10,Ni_Bi,Ni_Bi,RHE,GCE,C,KOH,1,"0,1",50,"12,71","0,44","0,69","93,03","-0,30989","-0,0598900000000001","0,25"
53,https://doi.org/10.1016/j.jcat.2019.10.037,2019,Pd/C,Pd_C,Pd_C,RHE,GCE,C,KOH,"0,1",1,10,"13,98","0,73","1,06","0,93","-0,0193","0,3107","0,33"
53,https://doi.org/10.1016/j.jcat.2019.10.037,2019,PdAu@Ag,Pd_Au_Ag,Pd_Au_Ag,RHE,GCE,C,KOH,"0,1",1,10,"13,98","0,58","1,01","3,39","-0,1693","0,2607","0,43"
53,https://doi.org/10.1016/j.jcat.2019.10.037,2019,Au,Au,Au,RHE,GCE,C,KOH,"0,1",1,10,"13,98","0,76","1,37","0,01","0,0107","0,6207","0,61"
